Column2
猪猪很小只，不过很可爱，粉粉嫩嫩，圆滚滚的
很好看，超级可爱，适合当桌上的摆件，柯基真的好可爱呀
好看可爱值得买价格合适质量好非常好看
特别萌啊啊啊 店主还送了小猪！！
产品功能：可爱 外观材质：可爱 商品品质：可爱
好可爱！挺精致的，买了两只大橘送了一只小猪
让商家帮忙带一张生日快乐的卡片，真的给了！谢谢！朋友说正面看是智慧的眼神哈哈哈
朋友说正面看是智慧的眼神哈哈哈
好可爱 特别喜欢 很精致
可爱的，很不错，结实耐用
